,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
214,MUTOMO,Urban,Female,68%,123.86%,127.93%,2.35%,1.18%,0.59%,0%,0%,17,109,229,4,2,1,0,0,362,25,88,179,292,170,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.53912323,-2.179047638,"(-2.179047638, 38.53912323)",213
215,MWINGI,Urban,Male,95.75%,112.39%,52.08%,5.49%,4.64%,1.48%,0.04%,0.04%,383,1560,276,52,44,14,1,1,2331,400,1388,530,2318,948,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.36852014,-0.907180566,"(-0.907180566, 38.36852014)",214
216,MWINGI,Urban,Female,93.84%,116.67%,48.38%,12.1%,2.73%,2.32%,0.15%,0.04%,381,1694,314,146,33,28,4,1,2601,406,1452,649,2507,1207,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.36852014,-0.907180566,"(-0.907180566, 38.36852014)",215
217,KYUSO,Urban,Male,95%,113.64%,12.5%,17.86%,17.86%,3.57%,0%,0.91%,19,75,3,5,5,1,0,1,109,20,66,24,110,28,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.27042885,-0.440861626,"(-0.440861626, 38.27042885)",216
218,KYUSO,Urban,Female,62.5%,111.25%,52.38%,4.17%,1.39%,4.17%,0.81%,0%,15,89,11,3,1,3,1,0,123,24,80,21,125,72,Kitui,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.27042885,-0.440861626,"(-0.440861626, 38.27042885)",217
219,MACHAKOS,Urban,Male,97.46%,119.84%,71.83%,10.48%,7.95%,2.24%,0.2%,0.03%,6877,28764,7523,1720,1304,367,92,11,46658,7056,24002,10474,41532,16412,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.16409824,-1.50054564,"(-1.50054564, 37.16409824)",218
220,MACHAKOS,Urban,Female,95.04%,115.88%,70.28%,14.17%,5.57%,1.65%,0.24%,0.02%,6267,27592,7495,2458,967,286,110,9,45184,6594,23810,10664,41068,17346,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.16409824,-1.50054564,"(-1.50054564, 37.16409824)",219
221,MWALA,Urban,Male,93.22%,120.48%,114.69%,5.33%,5.67%,2%,0.12%,0.56%,110,500,203,16,17,6,1,4,857,118,415,177,710,300,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.52391049,-1.399783931,"(-1.399783931, 37.52391049)",220
222,MWALA,Urban,Female,79.51%,119.54%,85.64%,9.44%,2.22%,1.67%,0.38%,0%,97,471,161,34,8,6,3,0,780,122,394,188,704,360,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.52391049,-1.399783931,"(-1.399783931, 37.52391049)",221
223,YATTA,Urban,Male,80.42%,128.01%,60.65%,4.23%,2.9%,3.05%,0.14%,0.02%,1236,7441,1543,115,79,83,15,2,10514,1537,5813,2544,9894,2721,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60220541,-1.060809489,"(-1.060809489, 37.60220541)",222
224,YATTA,Urban,Female,75.82%,127.37%,55.05%,8.61%,1.88%,2.19%,0.11%,0%,1157,7111,1297,224,49,57,11,0,9906,1526,5583,2356,9465,2603,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60220541,-1.060809489,"(-1.060809489, 37.60220541)",223
225,KANGUNDO,Urban,Male,92%,125.95%,61.88%,4.94%,2.66%,2.67%,0.13%,0.06%,5764,28599,6406,523,282,283,53,23,41933,6265,22706,10353,39324,10586,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.27203719,-1.237582196,"(-1.237582196, 37.27203719)",224
226,KANGUNDO,Urban,Female,88.72%,122.46%,62.77%,6.18%,1.89%,2.79%,0.48%,0.03%,5150,27017,5955,577,176,260,189,11,39335,5805,22062,9487,37354,9334,Machakos,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.27203719,-1.237582196,"(-1.237582196, 37.27203719)",225
227,MAKUENI,Urban,Male,82.88%,129.15%,60.75%,4.49%,3.36%,3.81%,0.11%,0.02%,1593,9994,2165,170,127,144,16,3,14212,1922,7738,3564,13224,3784,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.67253055,-1.881125246,"(-1.881125246, 37.67253055)",226
228,MAKUENI,Urban,Female,80.59%,126.35%,61.24%,6.92%,2.75%,4.05%,0.18%,0.03%,1428,9299,2089,229,91,134,24,4,13298,1772,7360,3411,12543,3308,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.67253055,-1.881125246,"(-1.881125246, 37.67253055)",227
229,MBOONI,Urban,Male,71.05%,127.45%,108.2%,6.25%,5.21%,1.04%,0%,0%,27,130,66,6,5,1,0,0,235,38,102,61,201,96,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60666503,-1.649117358,"(-1.649117358, 37.60666503)",228
230,MBOONI,Urban,Female,63.33%,123.21%,98.11%,6.67%,2.86%,0%,0.45%,0%,19,138,52,7,3,0,1,0,220,30,112,53,195,105,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.60666503,-1.649117358,"(-1.649117358, 37.60666503)",229
231,KIBWEZI,Urban,Male,90.82%,122.68%,65.35%,15.91%,5.42%,4.02%,0.09%,0.19%,485,2234,481,182,62,46,3,6,3499,534,1821,736,3091,1144,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.02538524,-2.468788914,"(-2.468788914, 38.02538524)",230
232,KIBWEZI,Urban,Female,84.05%,123.36%,66.24%,29.99%,2.25%,5.35%,0.25%,0.12%,506,2271,514,493,37,88,10,4,3923,602,1841,776,3219,1644,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.02538524,-2.468788914,"(-2.468788914, 38.02538524)",231
233,NZAUI,Urban,Male,71.26%,119.41%,55.99%,3.12%,2.67%,0.45%,0.16%,0.32%,186,855,159,21,18,3,2,4,1248,261,716,284,1261,674,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.41612392,-1.928374635,"(-1.928374635, 37.41612392)",232
234,NZAUI,Urban,Female,75.64%,118%,63.18%,4.08%,2.11%,1.27%,0%,0.08%,177,813,187,29,15,9,0,1,1231,234,689,296,1219,710,Makueni,EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.41612392,-1.928374635,"(-1.928374635, 37.41612392)",233
235,NAIROBI WEST,Rural,Male,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79920201,-1.341174727,"(-1.341174727, 36.79920201)",234
236,NAIROBI WEST,Rural,Female,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79920201,-1.341174727,"(-1.341174727, 36.79920201)",235
237,NAIROBI EAST,Rural,Male,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.967484,-1.274861358,"(-1.274861358, 36.967484)",236
238,NAIROBI EAST,Rural,Female,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.967484,-1.274861358,"(-1.274861358, 36.967484)",237
239,NAIROBI NORTH,Rural,Male,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.8911257,-1.225618057,"(-1.225618057, 36.8911257)",238
240,NAIROBI NORTH,Rural,Female,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.8911257,-1.225618057,"(-1.225618057, 36.8911257)",239
241,WESTLANDS,Rural,Male,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.7882561,-1.246976295,"(-1.246976295, 36.7882561)",240
242,WESTLANDS,Rural,Female,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.7882561,-1.246976295,"(-1.246976295, 36.7882561)",241
243,NAIROBI WEST,Urban,Male,114.36%,113.48%,103.85%,19.03%,27.99%,1.49%,0.15%,0.12%,17720,55053,20425,7009,10306,550,168,97,111328,15495,48515,19668,83678,36824,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79920201,-1.341174727,"(-1.341174727, 36.79920201)",242
244,NAIROBI WEST,Urban,Female,113.35%,112.68%,87.9%,15.47%,18.93%,0.91%,0.17%,0.13%,17546,56926,20082,7478,9153,442,191,113,111931,15480,50520,22847,88847,48341,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79920201,-1.341174727,"(-1.341174727, 36.79920201)",243
245,NAIROBI EAST,Urban,Male,110.77%,111.62%,109.34%,23.15%,18.65%,1.45%,0.2%,0.11%,29848,87398,31101,13423,10814,842,346,145,173917,26946,78300,28444,133690,57986,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.967484,-1.274861358,"(-1.274861358, 36.967484)",244
246,NAIROBI EAST,Urban,Female,109.72%,111.54%,87.56%,16.67%,10.33%,0.74%,0.2%,0.11%,29404,91204,32355,14367,8906,638,359,167,177400,26798,81767,36953,145518,86186,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.967484,-1.274861358,"(-1.274861358, 36.967484)",245
247,NAIROBI NORTH,Urban,Male,106.21%,110.36%,95.39%,19.55%,16.56%,1.2%,0.26%,1.28%,26039,81602,28440,12093,10240,740,412,1644,161210,24517,73940,29814,128271,61851,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.8911257,-1.225618057,"(-1.225618057, 36.8911257)",246
248,NAIROBI NORTH,Urban,Female,106.43%,109.17%,77.23%,15.41%,9.84%,0.69%,0.25%,1.21%,25650,83732,27941,12530,7999,561,396,1664,160473,24100,76696,36180,136976,81328,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.8911257,-1.225618057,"(-1.225618057, 36.8911257)",247
249,WESTLANDS,Urban,Male,110.72%,112.65%,120.93%,25.04%,52.75%,0.97%,0.16%,0.03%,4842,17050,8146,2978,6275,115,62,9,39477,4373,15136,6736,26245,11895,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.7882561,-1.246976295,"(-1.246976295, 36.7882561)",248
250,WESTLANDS,Urban,Female,110.39%,111.7%,106.97%,21.4%,37.04%,0.66%,0.18%,0.05%,4887,17349,8347,3265,5652,101,70,15,39686,4427,15532,7803,27762,15258,Nairobi,NAIROBI,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.7882561,-1.246976295,"(-1.246976295, 36.7882561)",249
251,GARISSA,Rural,Male,12.42%,25.8%,8.19%,0.72%,0.51%,0.04%,0.03%,11.13%,326,3118,417,35,25,2,2,2204,6129,2624,12086,5090,19800,4876,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.56855753,-0.051825797,"(-0.051825797, 39.56855753)",250
252,GARISSA,Rural,Female,9.78%,20.17%,5.4%,0.31%,0.34%,0.03%,0.11%,9.27%,220,1893,177,11,12,1,4,1383,3701,2250,9384,3278,14912,3510,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.56855753,-0.051825797,"(-0.051825797, 39.56855753)",251
253,LAGDERA,Rural,Male,9.79%,46.51%,14.1%,0.49%,0.42%,0.15%,0.15%,10.1%,861,17161,2103,75,64,23,40,6121,26448,8796,36900,14919,60615,15354,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.89717479,0.288065622,"(0.288065622, 39.89717479)",252
254,LAGDERA,Rural,Female,9.65%,39.03%,7.67%,0.2%,0.13%,0.08%,0.18%,9.41%,745,11562,773,23,15,9,32,4460,17619,7720,29620,10075,47415,11508,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.89717479,0.288065622,"(0.288065622, 39.89717479)",253
255,FAFI,Rural,Male,15.72%,49.41%,13.82%,0.4%,0.21%,0%,0.68%,5.25%,580,6657,712,24,13,0,63,1171,9220,3690,13472,5153,22315,6067,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,40.43908059,-0.687063677,"(-0.687063677, 40.43908059)",254
256,FAFI,Rural,Female,13.66%,40.08%,7.68%,0.07%,0.07%,0.06%,0.57%,5.06%,442,4439,289,4,4,3,35,914,6130,3235,11076,3761,18072,5400,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,40.43908059,-0.687063677,"(-0.687063677, 40.43908059)",255
257,IJARA,Rural,Male,16.06%,70.9%,22.99%,1.18%,0.49%,0.02%,0.05%,13.81%,462,9374,1210,56,23,1,7,2951,14084,2876,13222,5264,21362,4731,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,40.73455516,-1.427885086,"(-1.427885086, 40.73455516)",256
258,IJARA,Rural,Female,17.37%,59.44%,15.75%,0.58%,0.26%,0%,0.05%,12.54%,447,6306,559,20,9,0,5,2099,9445,2574,10609,3549,16732,3425,Garissa,NORTH EASTERN,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,40.73455516,-1.427885086,"(-1.427885086, 40.73455516)",257
